probe,gene,probe_atoms,total_atoms,footprint_x,footprint_y,height,min_contact,confidence,plddt,boltz_class
p5972,algD,370,6070,22.1,32.9,20.6,3.28,0.731,0.901,GOOD
p5938,algD,389,6089,26.3,24.2,33.8,3.38,0.721,0.887,GOOD
p6707,algD,368,6068,36.6,36.1,42.9,3.27,0.625,0.768,MODERATE
p5973,algD,390,6090,27.1,27.6,30.6,3.38,0.592,0.728,LOW
p5990,algD,382,6082,43.3,47.7,23.5,3.26,0.582,0.711,LOW
p7716,frdB,529,6229,34.4,30.7,42.7,3.25,0.723,0.822,GOOD
p8448,frdB,450,6150,27.3,31.8,51.4,3.47,0.716,0.845,GOOD
p7718,frdB,571,6271,41.3,27.7,40.8,3.2,0.595,0.673,LOW
p7852,frdB,383,6083,55.6,33.2,27.7,3.23,0.541,0.663,LOW
p7851,frdB,361,6061,39.0,31.0,39.9,3.24,0.539,0.66,LOW
p3897,lytA,518,6218,23.1,42.6,27.2,3.25,0.654,0.746,MODERATE
p3903,lytA,414,6114,33.6,28.7,23.0,3.26,0.612,0.737,MODERATE
p3889,lytA,579,6279,36.5,38.2,47.5,3.24,0.606,0.678,MODERATE
p3908,lytA,516,6216,66.7,46.4,42.4,3.35,0.553,0.629,LOW
p4176,lytA,459,6159,34.5,25.5,33.9,3.24,0.5,0.572,LOW
p129,nuc,521,6221,27.7,32.8,80.4,3.21,0.679,0.786,MODERATE
p119,nuc,542,6242,28.4,34.7,41.1,3.24,0.647,0.729,MODERATE
p130,nuc,541,6241,28.6,82.9,38.9,3.34,0.632,0.727,MODERATE
p120,nuc,563,6263,45.0,24.5,23.0,3.4,0.563,0.628,LOW
p121,nuc,585,6285,48.5,23.6,35.2,3.31,0.544,0.605,LOW
p4916,oprL,407,6107,63.2,25.4,44.0,3.45,0.612,0.728,MODERATE
p4804,oprL,362,6062,32.1,27.2,30.0,3.21,0.574,0.703,LOW
p4915,oprL,385,6085,35.4,46.6,44.2,3.24,0.543,0.662,LOW
p4811,oprL,504,6204,54.0,39.8,26.4,3.2,0.532,0.605,LOW
p4784,oprL,402,6102,31.1,24.3,25.4,3.21,0.502,0.599,LOW
p2402,rmpM,359,6059,56.1,30.8,29.7,3.25,0.652,0.8,MODERATE
p2393,rmpM,400,6100,43.4,38.5,48.2,3.22,0.607,0.728,MODERATE
p2392,rmpM,381,6081,54.9,38.6,20.6,3.24,0.606,0.742,MODERATE
p2394,rmpM,419,6119,55.7,48.1,24.6,3.22,0.565,0.662,LOW
p2385,rmpM,463,6163,50.9,26.0,30.5,3.27,0.547,0.633,LOW
