probe,gene,height,f_076,f_241,conf,cls
p119,nuc,41.142,6.642066420664207,50.92250922509225,0.647,MODERATE
p120,nuc,23.004,7.992895204262878,98.75666074600356,0.563,LOW
p121,nuc,35.167,4.786324786324787,62.56410256410256,0.544,LOW
p129,nuc,80.423004,5.182341650671785,23.99232245681382,0.679,MODERATE
p130,nuc,38.857,4.805914972273567,49.16820702402958,0.632,MODERATE
p2385,rmpM,30.479,6.911447084233262,77.10583153347731,0.547,LOW
p2392,rmpM,20.584,11.286089238845145,100.0,0.606,MODERATE
p2393,rmpM,48.152,14.249999999999998,43.5,0.607,MODERATE
p2394,rmpM,24.637,10.26252983293556,95.70405727923628,0.565,LOW
p2402,rmpM,29.73,6.685236768802229,66.29526462395543,0.652,MODERATE
p3889,lytA,47.531998,7.599309153713299,45.59585492227979,0.606,MODERATE
p3897,lytA,27.227999,7.335907335907336,93.05019305019306,0.654,MODERATE
p3903,lytA,23.008999,9.420289855072465,96.85990338164251,0.612,MODERATE
p3908,lytA,42.446,14.34108527131783,44.18604651162791,0.553,LOW
p4176,lytA,33.881,5.664488017429194,62.309368191721134,0.5,LOW
p4784,oprL,25.391998,7.462686567164178,87.31343283582089,0.502,LOW
p4804,oprL,30.030998,8.56353591160221,74.30939226519338,0.574,LOW
p4811,oprL,26.369,7.5396825396825395,94.24603174603175,0.532,LOW
p4915,oprL,44.207,3.6363636363636362,45.45454545454545,0.543,LOW
p4916,oprL,43.958,1.9656019656019657,33.169533169533175,0.612,MODERATE
p5938,algD,33.77,6.940874035989718,65.55269922879178,0.721,GOOD
p5972,algD,20.57,7.297297297297297,100.0,0.731,GOOD
p5973,algD,30.618,5.641025641025641,76.92307692307693,0.592,LOW
p5990,algD,23.522999,7.591623036649215,96.59685863874346,0.582,LOW
p6707,algD,42.903,6.521739130434782,56.25,0.625,MODERATE
p7716,frdB,42.723,2.4574669187145557,37.99621928166352,0.723,GOOD
p7718,frdB,40.830997,2.626970227670753,41.68126094570928,0.595,LOW
p7851,frdB,39.891,8.310249307479225,42.38227146814405,0.539,LOW
p7852,frdB,27.658998,4.177545691906006,86.94516971279373,0.541,LOW
p8448,frdB,51.433,4.444444444444445,22.0,0.716,GOOD
