gene,n_seqs,len_min,len_max,len_range,len_mean,len_sd,shapiro_p,normal_p<0.05
nuc,77,203,333,130,245.5,23.3,0.0,não
rmpM,76,870,1185,315,1089.2,110.7,0.0,não
lytA,87,700,1132,432,902.2,113.8,0.0003,não
oprL,24,413,562,149,481.8,31.2,0.043,não
algD,12,526,657,131,563.7,32.0,0.0007,não
frdB,82,489,489,0,489.0,0.0,n/a,n/a
